name,price,timestamp
Pokemon Legends: Arceus,£38.00,2024-12-22 14:45:28.758824
Pokemon Y,£35.00,2024-12-22 14:45:28.758824
Pokemon Scarlet,£35.00,2024-12-22 14:45:28.758824
Pokemon Violet,£35.00,2024-12-22 14:45:28.758824
Pokemon Sword,£32.00,2024-12-22 14:45:28.758824
Pokemon Brilliant Diamond,£32.00,2024-12-22 14:45:28.758824
"Pokemon: Let's Go, Pikachu!",£32.00,2024-12-22 14:45:28.758824
Pokemon Platinum,£90.00,2024-12-22 14:45:28.758824
Pokemon Shield,£32.00,2024-12-22 14:45:28.758824
"Pokemon HeartGold (Game Only, No Pokewalker)",£110.00,2024-12-22 14:45:28.758824
Pokemon Moon,£20.00,2024-12-22 14:45:28.758824
Pokemon Diamond,£42.00,2024-12-22 14:45:28.758824
"Pokemon: Let's Go, Eevee!",£42.00,2024-12-22 14:45:28.758824
Pokemon Mystery Dungeon: Rescue Team DX,£40.00,2024-12-22 14:45:28.758824
Pokemon Black Version 2,£98.00,2024-12-22 14:45:28.758824
Pokemon Sun,£18.00,2024-12-22 14:45:28.758824
Pokemon Shining Pearl,£32.00,2024-12-22 14:45:28.758824
"Pokemon Silver, Unboxed",£40.00,2024-12-22 14:51:46.376979
"Pokemon Silver, w/o Manual, Boxed",£125.00,2024-12-22 14:51:46.376979
"Pokemon Silver, w/ Manual, Boxed",£160.00,2024-12-22 14:51:46.376979
"Pokemon Silver, Mint",£195.00,2024-12-22 14:51:46.376979
"Pokemon Silver, Unboxed",£40.00,2024-12-22 15:23:08.823006
"Pokemon Silver, w/ Manual, Boxed",£160.00,2024-12-22 15:23:08.823006
"Pokemon Silver, w/o Manual, Boxed",£125.00,2024-12-22 15:23:08.823006
Pokemon White Version,£55.00,2024-12-22 15:23:08.823006
Pokemon White Version 2,£98.00,2024-12-22 15:23:08.823006
"Pokemon Silver, Mint",£195.00,2024-12-22 15:23:08.823006
"Pokemon Gold, Unboxed",£40.00,2024-12-22 15:23:08.823006
"Pokemon SoulSilver (Game Only, No Pokewalker)",£100.00,2024-12-22 15:23:08.823006
"Pokemon SoulSilver + Pokewalker, w/Outer Box",£195.00,2024-12-22 15:23:08.823006
"Pokemon Gold, w/ Manual, Boxed",£150.00,2024-12-22 15:23:08.823006
"Pokemon Gold, w/o Manual, Boxed",£130.00,2024-12-22 15:23:08.823006
"Pokemon Gold, Mint",£195.00,2024-12-22 15:23:08.823006
Pokemon The Movie - Black & Pokemon the Movie: White (PG) 2 Disc,£5.00,2024-12-22 15:23:08.823006
"DSi Console, Pokemon Reshiram & Zekrom Ed. White (No Game), Unboxed",£110.00,2024-12-22 15:23:08.823006
"DSi Console, Pokemon Reshiram & Zekrom Ed. White (No Game), Discounted",£85.00,2024-12-22 15:23:08.823006
"DSi Console, Pokemon Reshiram & Zekrom Ed. White (No Game) Boxed",£195.00,2024-12-22 15:23:08.823006
Pokemon Rumble U Kyurem White Figure,£15.00,2024-12-22 15:23:08.823006
